municipio,clasificacion_empleo,informales,pct_informales_en_categoria,confiable
el_salto,G,345.234375,14.0,True
el_salto,M,866.640625,35.1,True
el_salto,P,41.453125,1.7,True
el_salto,S,1215.921875,49.2,True
guadalajara,G,2721.203125,10.2,True
guadalajara,M,7132.0625,26.8,True
guadalajara,P,2973.1875,11.2,True
guadalajara,S,13821.078125,51.9,True
ixtlahuacan_membrillos,G,205.328125,11.8,True
ixtlahuacan_membrillos,M,680.3125,39.1,True
ixtlahuacan_membrillos,P,141.953125,8.1,False
ixtlahuacan_membrillos,S,714.296875,41.0,True
tlajomulco,G,2790.15625,17.3,True
tlajomulco,M,5499.171875,34.1,True
tlajomulco,P,925.453125,5.7,True
tlajomulco,S,6924.875,42.9,True
tlaquepaque,G,2011.34375,10.5,True
tlaquepaque,M,7600.453125,39.6,True
tlaquepaque,P,1006.4375,5.2,True
tlaquepaque,S,8571.8125,44.7,True
tonala,G,1555.21875,8.1,True
tonala,M,8033.375,42.1,True
tonala,P,757.640625,4.0,True
tonala,S,8744.703125,45.8,True
zapopan,G,4680.078125,15.1,True
zapopan,M,10509.375,33.9,True
zapopan,P,2856.609375,9.2,True
zapopan,S,12909.84375,41.7,True
zapotlanejo,G,20.765625,1.5,False
zapotlanejo,M,763.15625,56.4,True
zapotlanejo,P,40.953125,3.0,False
zapotlanejo,S,529.203125,39.1,True
