ent,mun,tasa_pea,tasa_ocupados,tasa_informales_ilmm,cv_informales,confiable_ilmm
14,1,61.048,98.786,58.352,10.895,True
14,2,62.354,98.857,50.534,19.287,False
14,3,61.268,98.632,61.046,16.253,False
14,4,54.959,98.766,75.94,14.64,True
14,5,61.48,98.469,55.165,18.001,False
14,6,59.749,98.039,59.541,2.798,True
14,7,58.613,98.921,71.548,14.495,True
14,8,63.271,98.346,58.043,16.571,False
14,9,60.647,98.67,53.689,18.71,False
14,10,61.632,99.072,86.347,7.732,True
14,11,55.203,98.946,85.45,12.932,True
14,12,56.804,98.788,78.618,13.662,True
14,13,63.314,98.639,63.097,9.021,True
14,14,56.664,98.669,75.841,14.18,True
14,15,60.851,98.501,55.644,17.966,False
14,16,60.207,98.697,67.251,15.017,False
14,17,58.315,99.185,77.74,13.354,True
14,18,59.029,98.227,58.327,3.448,True
14,19,55.407,100.0,80.255,13.679,True
14,20,60.702,99.139,71.155,14.019,True
14,21,59.639,98.863,64.223,15.883,False
14,22,65.246,99.002,71.588,7.973,True
14,23,67.263,98.958,45.525,14.797,True
14,24,57.909,98.782,61.144,17.171,False
14,25,62.681,98.433,69.188,14.05,True
14,26,61.084,98.874,78.538,12.693,True
14,27,57.171,99.427,76.512,8.958,True
14,28,56.294,99.297,84.397,12.809,True
14,29,55.429,98.853,75.726,14.506,True
14,30,52.566,99.544,64.227,10.725,True
14,31,52.655,99.599,93.119,12.376,True
14,32,57.535,99.021,81.4,12.98,True
14,33,58.07,98.767,74.419,14.071,True
14,34,54.866,99.333,93.858,11.866,True
14,35,60.427,96.984,64.619,9.548,True
14,36,64.934,98.743,65.743,9.122,True
14,37,64.127,98.817,64.61,9.262,True
14,38,57.343,98.936,74.119,14.34,True
14,39,61.13,97.517,35.339,4.52,True
14,40,57.281,98.823,80.7,13.171,True
14,41,57.085,99.055,84.865,12.561,True
14,42,57.832,99.517,77.827,13.471,True
14,43,60.188,98.996,65.008,15.513,False
14,44,60.806,98.252,49.671,9.009,True
14,45,57.452,99.18,70.733,9.584,True
14,46,60.435,98.634,63.307,15.894,False
14,47,62.227,97.905,72.865,8.576,True
14,48,56.524,98.604,69.824,15.45,False
14,49,63.253,98.427,68.093,14.357,True
14,50,61.625,94.833,61.75,7.533,True
14,51,60.064,98.213,55.316,18.532,False
14,52,55.331,99.492,84.86,12.901,True
14,53,59.731,98.824,46.796,8.11,True
14,54,53.077,99.253,80.438,14.241,True
14,55,58.825,98.807,65.421,15.801,False
14,56,56.972,98.4,100.0,10.816,True
14,57,59.24,98.824,77.978,13.19,True
14,58,55.048,99.433,69.396,10.37,True
14,59,61.414,98.907,66.96,14.774,True
14,60,52.127,99.121,91.051,12.884,True
14,61,53.442,99.847,90.915,12.493,True
14,62,57.09,98.785,84.108,12.713,True
14,63,62.38,98.337,51.198,10.793,True
14,64,60.306,98.479,72.075,14.027,True
14,65,57.714,98.987,75.941,13.893,True
14,66,58.756,98.541,61.578,10.196,True
14,67,67.32,96.826,39.433,8.242,True
14,68,55.799,100.0,73.889,9.684,True
14,69,49.681,99.263,98.55,12.48,True
14,70,66.933,97.95,43.095,14.457,True
14,71,54.335,99.344,80.445,13.934,True
14,72,59.97,98.777,78.673,12.957,True
14,73,62.671,98.971,64.478,8.813,True
14,74,59.999,98.93,72.304,9.095,True
14,75,58.957,98.722,76.742,13.48,True
14,76,57.545,99.019,83.41,12.681,True
14,77,56.996,98.837,68.112,15.678,False
14,78,61.008,98.412,64.601,15.471,False
14,79,60.786,98.495,62.275,16.132,False
14,80,57.083,98.22,79.408,9.312,True
14,81,52.796,99.189,100.0,7.668,True
14,82,68.404,95.282,59.391,12.992,True
14,83,61.927,98.776,47.315,11.942,True
14,84,61.107,98.863,77.264,12.855,True
14,85,57.03,98.743,59.597,17.948,False
14,86,61.001,98.831,62.307,16.019,False
14,87,59.295,98.754,78.968,12.994,True
14,88,57.776,98.936,68.07,15.434,False
14,89,55.609,98.808,66.372,16.613,False
14,90,57.533,99.092,81.393,12.976,True
14,91,58.256,98.636,73.746,14.181,True
14,92,54.753,98.808,74.227,15.003,False
14,93,64.271,99.204,45.969,10.131,True
14,94,63.379,98.548,59.092,16.225,False
14,95,57.058,98.439,68.236,15.735,False
14,96,58.651,98.746,70.051,14.798,True
14,97,67.186,97.721,37.323,7.798,True
14,98,64.418,97.639,43.667,5.844,True
14,99,55.92,98.983,72.886,14.963,True
14,100,60.011,98.906,73.424,3.066,True
14,101,66.428,97.947,44.967,5.708,True
14,102,56.7,99.261,75.228,14.272,True
14,103,58.743,98.71,72.278,14.357,True
14,104,52.298,99.508,84.319,13.775,True
14,105,60.703,98.455,62.896,15.972,False
14,106,57.618,98.979,61.612,17.523,False
14,107,57.712,99.206,72.739,14.475,True
14,108,62.59,98.881,65.209,9.188,True
14,109,58.065,98.58,65.93,15.967,False
14,110,57.236,98.988,70.786,15.005,False
14,111,59.262,98.884,61.349,16.828,False
14,112,57.887,98.92,74.194,14.17,True
14,113,56.784,98.938,63.064,17.054,False
14,114,58.873,98.689,61.888,16.72,False
14,115,57.458,99.388,85.118,12.382,True
14,116,66.154,98.677,77.844,11.902,True
14,117,55.697,98.899,79.583,13.754,True
14,118,56.51,98.736,73.676,14.641,True
14,119,59.18,99.38,66.103,9.665,True
14,120,62.934,97.047,39.696,5.398,True
14,121,60.063,98.569,56.175,18.056,False
14,122,57.872,99.035,82.319,12.747,True
14,123,58.843,98.188,73.367,4.746,True
14,124,61.638,98.755,59.66,16.487,False
14,125,59.355,98.907,66.533,15.376,False
