municipio,clasificacion_empleo,n_muestra,ocupados,informales,tasa_informalidad,confiable
el_salto,G,92,795.828125,345.234375,43.4,True
el_salto,M,364,2833.890625,866.640625,30.6,True
el_salto,P,32,305.265625,41.453125,13.6,True
el_salto,S,225,1787.859375,1215.921875,68.0,True
guadalajara,G,1263,8159.71875,2721.203125,33.3,True
guadalajara,M,3488,22329.296875,7132.0625,31.9,True
guadalajara,P,2380,15858.515625,2973.1875,18.7,True
guadalajara,S,4309,27488.671875,13821.078125,50.3,True
ixtlahuacan_membrillos,G,32,551.109375,205.328125,37.3,True
ixtlahuacan_membrillos,M,100,2048.84375,680.3125,33.2,True
ixtlahuacan_membrillos,P,25,353.71875,141.953125,40.1,False
ixtlahuacan_membrillos,S,65,1178.546875,714.296875,60.6,True
tlajomulco,G,442,5686.9375,2790.15625,49.1,True
tlajomulco,M,1693,22224.75,5499.171875,24.7,True
tlajomulco,P,315,4231.015625,925.453125,21.9,True
tlajomulco,S,946,12489.125,6924.875,55.4,True
tlaquepaque,G,659,4526.75,2011.34375,44.4,True
tlaquepaque,M,3043,21062.921875,7600.453125,36.1,True
tlaquepaque,P,833,5899.3125,1006.4375,17.1,True
tlaquepaque,S,2390,16112.234375,8571.8125,53.2,True
tonala,G,591,4234.78125,1555.21875,36.7,True
tonala,M,2411,17380.359375,8033.375,46.2,True
tonala,P,659,4720.15625,757.640625,16.1,True
tonala,S,2229,15936.921875,8744.703125,54.9,True
zapopan,G,1334,10485.734375,4680.078125,44.6,True
zapopan,M,3292,27257.015625,10509.375,38.6,True
zapopan,P,2046,16461.15625,2856.609375,17.4,True
zapopan,S,3354,25929.140625,12909.84375,49.8,True
zapotlanejo,G,3,30.859375,20.765625,67.3,False
zapotlanejo,M,87,971.40625,763.15625,78.6,True
zapotlanejo,P,16,179.78125,40.953125,22.8,False
zapotlanejo,S,59,657.546875,529.203125,80.5,True
