mun,municipio,clasificacion_empleo,ocupados,informales_ilmm,formales,razon_informal_formal,razon_valida,tasa_informales_ilmm,cv_informales,confiable_ilmm,confiable_enoe,confiable
70,el_salto,G,795.828125,345.27633196875,450.55179303125,0.7663,True,43.095,14.457,True,True,True
70,el_salto,M,2833.890625,865.6570894359376,1968.2335355640625,0.4398,True,43.095,14.457,True,True,True
70,el_salto,P,305.265625,41.926411739062495,263.3392132609375,0.1592,True,43.095,14.457,True,True,True
70,el_salto,S,1787.859375,1213.39968091875,574.4596940812501,2.1122,True,43.095,14.457,True,True,True
39,guadalajara,G,8159.71875,2661.483533879062,5498.235216120938,0.4841,True,35.339,4.52,True,True,True
39,guadalajara,M,22329.296875,6992.917520388124,15336.379354611876,0.456,True,35.339,4.52,True,True,True
39,guadalajara,P,15858.515625,2922.4132921024993,12936.1023328975,0.2259,True,35.339,4.52,True,True,True
39,guadalajara,S,27488.671875,13542.254451796403,13946.417423203597,0.971,True,35.339,4.52,True,True,True
44,ixtlahuacan_membrillos,G,551.109375,242.196696286875,308.912678713125,0.784,True,49.671,9.009,True,True,True
44,ixtlahuacan_membrillos,M,2048.84375,802.5331207471875,1246.3106292528125,0.6439,True,49.671,9.009,True,True,True
44,ixtlahuacan_membrillos,P,353.71875,166.2536644003125,187.4650855996875,0.8869,True,49.671,9.009,True,False,False
44,ixtlahuacan_membrillos,S,1178.546875,841.530893878125,337.01598112187503,2.497,True,49.671,9.009,True,True,True
97,tlajomulco,G,5686.9375,2881.8231375192195,2805.1143624807805,1.0273,True,37.323,7.798,True,True,True
97,tlajomulco,M,22224.75,5680.356588982969,16544.39341101703,0.3433,True,37.323,7.798,True,True,True
97,tlajomulco,P,4231.015625,949.5024210323438,3281.5132039676564,0.2893,True,37.323,7.798,True,True,True
97,tlajomulco,S,12489.125,7146.255063559219,5342.869936440781,1.3375,True,37.323,7.798,True,True,True
98,tlaquepaque,G,4526.75,2182.5325401140626,2344.2174598859374,0.931,True,43.667,5.844,True,True,True
98,tlaquepaque,M,21062.921875,8231.265579858751,12831.656295141249,0.6415,True,43.667,5.844,True,True,True
98,tlaquepaque,P,5899.3125,1080.8732579612501,4818.43924203875,0.2243,True,43.667,5.844,True,True,True
98,tlaquepaque,S,16112.234375,9291.352813628439,6820.8815613715615,1.3622,True,43.667,5.844,True,True,True
101,tonala,G,4234.78125,1539.6924370303125,2695.0888129696878,0.5713,True,44.967,5.708,True,True,True
101,tonala,M,17380.359375,8002.598962836562,9377.760412163438,0.8534,True,44.967,5.708,True,True,True
101,tonala,P,4720.15625,760.3419442124999,3959.8143057875,0.192,True,44.967,5.708,True,True,True
101,tonala,S,15936.921875,8705.915261233124,7231.006613766876,1.204,True,44.967,5.708,True,True,True
120,zapopan,G,10485.734375,4803.2517574124995,5682.4826175875005,0.8453,True,39.696,5.398,True,True,True
120,zapopan,M,27257.015625,10783.459243462501,16473.5563815375,0.6546,True,39.696,5.398,True,True,True
120,zapopan,P,16461.15625,2926.4845144499996,13534.67173555,0.2162,True,39.696,5.398,True,True,True
120,zapopan,S,25929.140625,13264.609157887502,12664.531467112498,1.0474,True,39.696,5.398,True,True,True
124,zapotlanejo,G,30.859375,16.462524468749997,14.396850531250003,1.1435,True,59.66,16.487,False,False,False
124,zapotlanejo,M,971.40625,618.9909200249999,352.4153299750001,1.7564,True,59.66,16.487,False,True,False
124,zapotlanejo,P,179.78125,32.925048937499994,146.85620106250002,0.2242,True,59.66,16.487,False,False,False
124,zapotlanejo,S,657.546875,429.12313781874997,228.42373718125003,1.8786,True,59.66,16.487,False,True,False
