ent,mun,est,pea,ocupados,informales
0,0,1,60.241,97.342,55.064
0,0,2,0.144,0.062,0.245
0,0,3,60.004,97.24,54.661
0,0,4,60.479,97.444,55.467
0,0,5,0.24,0.064,0.445
1,0,1,60.139,96.98,40.9
1,0,2,0.613,0.27,0.923
1,0,3,59.131,96.536,39.383
1,0,4,61.147,97.425,42.418
1,0,5,1.019,0.279,2.256
1,1,1,61.603,96.682,37.588
1,1,2,0.708,1.143,1.134
1,1,3,60.439,94.802,35.723
1,1,4,62.767,98.563,39.452
1,1,5,1.149,1.183,3.016
1,2,1,52.466,98.407,41.089
1,2,2,1.91,3.858,1.659
1,2,3,49.324,92.061,38.361
1,2,4,55.607,98.549,43.817
1,2,5,3.64,3.92,4.037
1,3,1,52.801,99.359,73.801
1,3,2,1.058,1.955,3.828
1,3,3,51.062,96.143,67.504
1,3,4,54.541,99.441,80.098
1,3,5,2.003,1.968,5.187
1,4,1,54.734,96.498,42.629
1,4,2,2.138,3.868,6.748
1,4,3,51.217,90.135,31.53
1,4,4,58.251,96.854,53.729
1,4,5,3.906,4.009,15.829
1,5,1,62.048,96.731,44.086
1,5,2,1.706,2.665,3.053
1,5,3,59.242,92.348,39.063
1,5,4,64.854,96.85,49.108
1,5,5,2.749,2.755,6.926
1,6,1,57.162,97.686,40.269
1,6,2,2.007,3.622,3.668
1,6,3,53.861,91.729,34.235
1,6,4,60.463,97.856,46.303
1,6,5,3.511,3.708,9.11
1,7,1,55.786,97.245,57.849
1,7,2,2.052,3.519,5.843
1,7,3,52.411,91.458,48.238
1,7,4,59.161,97.419,67.46
1,7,5,3.678,3.618,10.101
1,8,1,52.695,99.384,66.858
1,8,2,2.564,4.715,7.405
1,8,3,48.478,91.628,54.678
1,8,4,56.912,99.57,79.038
1,8,5,4.865,4.745,11.075
1,9,1,56.385,98.66,52.335
1,9,2,2.992,5.044,6.627
1,9,3,51.464,90.363,41.435
1,9,4,61.306,98.846,63.235
1,9,5,5.306,5.113,12.662
1,10,1,52.384,99.284,47.254
1,10,2,2.063,3.974,3.4
1,10,3,48.991,92.747,41.661
1,10,4,55.777,99.426,52.847
1,10,5,3.938,4.003,7.196
1,11,1,58.237,97.342,36.806
1,11,2,1.908,3.231,3.455
1,11,3,55.099,92.028,31.123
1,11,4,61.376,97.505,42.489
1,11,5,3.276,3.319,9.388
2,0,1,60.776,98.288,37.755
2,0,2,0.517,0.183,0.851
2,0,3,59.925,97.986,36.354
2,0,4,61.627,98.589,39.155
2,0,5,0.851,0.186,2.255
2,1,1,57.373,97.146,38.752
2,1,2,1.483,2.558,2.495
2,1,3,54.934,92.939,34.647
2,1,4,59.813,97.207,42.856
2,1,5,2.585,2.633,6.44
2,2,1,61.13,98.131,37.666
2,2,2,0.793,1.299,1.202
2,2,3,59.826,95.995,35.689
2,2,4,62.434,98.162,39.643
2,2,5,1.297,1.323,3.191
2,3,1,60.095,99.301,34.468
2,3,2,2.42,4.007,4.969
2,3,3,56.114,92.709,26.294
2,3,4,64.076,99.359,42.641
2,3,5,4.028,4.035,14.417
2,4,1,61.515,98.559,35.679
2,4,2,0.713,1.179,1.214
2,4,3,60.343,96.621,33.683
2,4,4,62.688,98.58,37.676
2,4,5,1.159,1.196,3.402
2,5,1,58.221,98.418,44.158
2,5,2,2.535,4.139,7.571
2,5,3,54.051,91.609,31.704
2,5,4,62.391,98.501,56.611
2,5,5,4.355,4.206,17.146
2,6,1,61.839,98.246,68.248
2,6,2,2.986,4.596,9.624
2,6,3,56.927,90.686,52.417
2,6,4,66.752,98.339,84.078
2,6,5,4.829,4.678,14.102
3,0,1,68.424,97.241,37.762
3,0,2,0.813,0.323,1.33
3,0,3,67.086,96.709,35.575
3,0,4,69.762,97.772,39.949
3,0,5,1.189,0.332,3.521
3,1,1,62.694,97.65,48.768
3,1,2,2.171,3.33,3.502
3,1,3,59.122,92.173,43.007
3,1,4,66.265,97.777,54.528
3,1,5,3.463,3.41,7.181
3,2,1,63.403,97.651,44.786
3,2,2,1.997,2.896,5.004
3,2,3,60.119,92.888,36.555
3,2,4,66.687,97.788,53.016
3,2,5,3.149,2.965,11.173
3,3,1,66.522,97.711,36.678
3,3,2,1.1,1.594,1.33
3,3,3,64.713,95.089,34.49
3,3,4,68.331,97.772,38.866
3,3,5,1.653,1.631,3.627
3,8,1,72.482,96.667,34.555
3,8,2,1.009,1.473,1.662
3,8,3,70.822,94.245,31.821
3,8,4,74.142,99.09,37.288
3,8,5,1.393,1.523,4.809
3,9,1,64.686,98.209,56.056
3,9,2,3.034,4.464,5.933
3,9,3,59.696,90.867,46.298
3,9,4,69.677,98.423,65.815
